Table 2.5.5. Personal Consumption Expenditures by Function
Table 2.5.5. Personal Consumption Expenditures by Function
"Last Revised on: September 29, 2023"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,"                Women's and girls' clothing",---,---,---,---,---,---,---,---,---,---,---,12.5,12.7,13.1,13.8,14.3,15.6,16.3,17.7,18.3,20.1,21.3,21.9,24.0,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67.0,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119.0,126.5,132.7,132.1,133.3,136.8,143.7,149.6,153.7,155.8,150.6,143.4,149.2,156.6,162.2,163.9,169.0,172.7,175.9,178.7,183.1,185.0,163.3,210.5,226.2
11,"                Men's and boys' clothing",---,---,---,---,---,---,---,---,---,---,---,7.4,7.6,7.8,8.1,8.2,9.0,9.6,10.6,11.4,12.4,13.4,13.7,14.7,16.3,18.2,19.3,20.9,22.5,25.1,27.6,29.2,30.9,33.5,34.5,37.1,40.2,42.5,44.9,48.0,51.7,55.6,57.4,59.4,63.0,66.1,70.1,72.2,75.8,80.0,82.2,84.6,85.9,83.2,82.4,82.8,84.5,86.3,86.7,85.3,83.9,80.5,83.7,88.2,92.0,95.1,99.6,103.4,106.8,110.0,111.6,112.7,98.5,125.6,135.8
12,"                Children's and infants' clothing",---,---,---,---,---,---,---,---,---,---,---,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.8,1.0,0.9,1.1,1.3,1.7,1.9,2.2,2.5,3.0,3.4,3.9,4.6,5.1,5.5,6.0,6.3,6.7,7.0,7.6,8.0,8.1,8.1,8.2,8.4,8.8,9.0,9.1,9.4,10.0,10.8,11.4,11.9,12.3,13.1,14.1,15.4,16.7,17.6,18.3,17.7,18.0,18.0,17.4,18.2,19.3,20.4,21.2,22.1,21.8,21.6,19.3,23.8,25.5
13,"            Other clothing materials",0.8,0.8,0.8,1.0,0.9,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.9,1.0,1.0,1.1,1.1,1.1,1.3,1.5,1.6,1.7,1.6,1.9,2.0,2.1,2.1,2.4,2.4,2.6,2.7,2.9,3.0,3.2,3.5,3.7,3.8,3.8,3.8,3.9,3.9,3.8,3.6,3.7,3.5,3.7,4.0,4.4,4.6,5.0,4.9,4.7,4.5,4.3,4.0,3.9,3.9,4.0,4.1,4.2,4.0,3.8,3.6,3.3,3.2,3.3,3.2,3.3,3.4,3.4
14,"            Cleaning, repair, and rental of clothing",2.3,2.3,2.3,2.5,2.6,2.7,2.7,2.8,2.9,3.0,2.9,3.0,3.1,3.1,3.1,3.2,3.4,3.6,3.7,3.9,4.1,4.2,4.2,4.0,4.1,4.1,4.1,4.2,4.3,4.6,4.9,5.2,5.4,5.5,5.5,6.0,6.6,7.0,7.5,8.2,9.3,10.2,10.7,10.4,11.2,11.5,12.1,12.9,13.5,14.1,14.8,15.6,16.2,16.3,15.9,15.7,15.6,15.5,15.7,15.6,15.3,14.6,14.7,14.2,14.0,14.7,15.6,16.2,16.8,17.7,18.2,18.6,14.7,16.3,17.4
15,"                Laundry and dry cleaning services",---,---,---,---,---,---,---,---,---,---,---,1.7,1.7,1.7,1.7,1.7,1.9,2.1,2.3,2.4,2.5,2.6,2.5,2.4,2.4,2.1,2.1,2.1,2.1,2.3,2.5,2.7,2.9,2.8,2.7,3.0,3.3,3.4,3.6,4.1,4.6,5.0,4.9,5.3,6.7,7.0,7.6,8.2,8.7,9.2,9.7,10.4,11.0,11.2,11.3,11.2,11.2,11.2,11.5,11.5,11.3,10.9,10.9,10.9,10.8,11.3,11.9,12.1,12.2,12.6,12.9,13.0,10.2,11.2,12.0
16,"                Clothing repair, rental, and alterations",---,---,---,---,---,---,---,---,---,---,---,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.9,3.0,3.4,3.6,3.9,4.1,4.8,5.3,5.8,5.1,4.5,4.5,4.5,4.8,4.8,4.9,5.1,5.2,5.2,5.1,4.6,4.4,4.4,4.3,4.2,4.1,4.0,3.8,3.7,3.3,3.1,3.4,3.7,4.1,4.6,5.1,5.3,5.6,4.5,5.1,5.4
17,"        Footwear2",3.3,3.3,3.5,3.5,3.5,3.5,3.5,3.8,4.0,4.1,4.3,4.6,4.8,4.8,5.0,5.1,5.4,5.7,6.3,6.6,7.3,8.1,8.1,8.4,9.2,10.2,10.2,10.7,11.4,12.6,14.5,16.4,17.8,19.8,19.6,20.8,22.0,23.4,24.9,26.5,28.2,30.9,32.1,32.0,33.5,34.8,36.9,38.1,40.0,41.2,43.4,45.7,46.9,46.6,46.3,48.1,50.8,55.1,59.2,61.2,61.1,58.9,62.2,66.1,69.7,73.4,77.3,81.0,85.4,87.4,89.9,91.9,82.0,104.9,110.1
18,"    Housing, utilities, and fuels",23.9,25.6,28.4,31.6,34.6,37.9,40.9,43.8,46.8,50.0,53.3,56.9,60.5,64.0,68.2,72.2,76.2,81.0,85.8,91.1,97.4,105.5,113.8,124.5,136.2,149.7,166.3,184.8,204.6,228.7,255.6,287.5,327.7,367.6,401.7,434.6,471.1,513.9,548.1,582.6,625.9,666.9,709.3,747.5,783.3,827.3,876.1,926.7,976.7,1023.1,1077.0,1135.5,1214.5,1303.0,1343.8,1408.5,1486.0,1602.4,1689.4,1785.2,1902.8,1923.2,1972.5,2010.3,2038.9,2111.6,2173.8,2217.5,2287.4,2371.7,2484.3,2578.7,2696.0,2855.5,3085.9
19,"        Housing",17.3,19.1,21.1,23.7,26.3,29.1,31.5,33.6,35.8,38.3,41.0,44.0,47.0,50.0,53.4,56.5,59.8,63.6,67.5,71.9,77.3,84.2,91.0,99.7,108.7,119.0,130.0,142.4,156.0,173.4,194.5,218.0,246.6,277.9,303.0,327.2,357.7,394.6,430.5,461.5,497.3,531.0,570.6,601.5,634.5,666.4,709.5,756.1,795.4,839.2,894.2,948.6,1010.5,1085.5,1129.3,1174.1,1239.8,1329.0,1399.5,1481.4,1576.7,1609.8,1648.1,1683.0,1722.4,1778.3,1823.3,1879.1,1953.2,2023.3,2108.2,2203.7,2324.0,2458.3,2618.4
20,"            Rental of tenant-occupied nonfarm housing3",5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16.0,17.0,18.2,19.2,20.4,22.2,24.0,26.0,28.4,30.8,33.7,35.8,39.0,42.6,47.0,51.1,55.7,62.5,71.1,78.9,85.7,94.5,108.4,119.8,126.9,133.9,140.1,150.8,157.7,164.0,169.1,176.1,186.6,192.0,199.2,209.0,218.2,227.9,242.3,248.2,251.8,264.1,281.7,291.5,308.8,330.1,346.3,361.1,378.3,399.5,413.4,429.5,445.5,460.7,467.1,490.4,513.8,529.5,563.4,593.5
21,"            Imputed rental of owner-occupied nonfarm housing4",9.7,11.0,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25.0,27.0,29.0,31.3,33.3,35.7,37.8,40.0,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81.0,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201.0,218.4,235.9,257.4,280.6,305.2,329.1,357.5,384.4,412.8,436.3,462.6,488.5,523.7,559.4,592.9,629.5,674.3,718.9,768.9,829.2,867.1,908.2,959.3,1029.1,1089.2,1153.1,1226.9,1244.1,1267.6,1284.0,1301.7,1343.9,1372.2,1411.2,1470.7,1533.2,1593.6,1665.4,1770.6,1869.4,1998.7
22,"            Rental value of farm dwellings",1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3.0,3.3,3.5,3.7,3.8,4.0,4.0,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5.0,5.0,5.5,5.9,6.3,6.8,7.2,8.1,9.0,9.4,9.8,9.6,10.0,10.6,12.7,13.1,13.2,13.3,15.4,17.1,17.7,18.3,18.4,18.1,18.0,19.2,19.4,19.0,19.4,20.1,19.5,20.6,21.5,21.8,21.3,22.9,23.5
23,"            Group housing",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.3,1.4,1.5,1.8,2.0,2.2,2.2,2.3,2.4,2.6,2.7,2.5,2.6,2.8
24,"        Household utilities and fuels",6.6,6.5,7.3,7.9,8.3,8.7,9.4,10.2,11.0,11.6,12.3,12.9,13.5,14.1,14.8,15.7,16.5,17.4,18.3,19.3,20.1,21.3,22.7,24.8,27.4,30.7,36.3,42.4,48.6,55.3,61.1,69.5,81.1,89.6,98.7,107.4,113.5,119.3,117.6,121.1,128.6,135.9,138.7,146.0,148.8,160.9,166.6,170.6,181.3,183.9,182.9,186.9,204.0,217.5,214.5,234.4,246.2,273.5,289.9,303.8,326.1,313.5,324.5,327.3,316.4,333.3,350.5,338.4,334.3,348.4,376.1,375.0,372.0,397.3,467.4
25,"            Water supply and sanitation",0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8,3.2,3.6,4.0,4.4,4.9,5.5,6.0,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17.0,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.7,50.4,52.4,54.6,56.6,58.7,61.3,65.5,68.0,72.4,75.0,78.5,81.4,84.7,87.6,90.6,91.5,95.1,101.0,105.8,109.8,110.0,112.5,120.9
26,"            Electricity, gas, and other fuels",6.1,6.0,6.7,7.2,7.6,8.0,8.5,9.3,10.0,10.6,11.2,11.7,12.2,12.6,13.2,13.9,14.5,15.3,16.2,17.0,17.7,18.5,19.6,21.2,23.4,26.3,31.3,37.0,42.6,48.7,53.6,61.1,71.7,79.2,87.1,94.3,98.5,102.3,98.5,100.0,105.7,110.6,111.5,117.2,118.5,127.4,129.9,131.3,139.2,139.8,136.7,138.2,153.5,165.1,159.9,177.8,187.5,212.2,224.4,235.8,253.7,238.4,246.0,245.9,231.7,245.8,259.9,247.0,239.2,247.4,270.3,265.2,262.0,284.7,346.5
27,"                Electricity",1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6.0,6.3,6.6,7.0,7.5,8.1,8.8,9.6,10.6,11.8,13.3,16.1,19.4,21.6,25.2,28.0,30.7,37.2,42.5,47.0,51.6,55.3,59.3,60.6,63.3,66.8,69.7,71.8,76.6,76.8,82.7,84.5,87.6,90.5,90.7,93.4,93.6,98.4,103.4,107.1,111.5,115.8,128.5,140.7,148.3,155.5,157.0,166.8,166.7,163.2,169.1,176.1,177.6,177.0,177.7,190.7,187.3,191.6,200.7,234.8
28,"                Natural gas",1.0,1.1,1.2,1.4,1.5,1.6,1.8,2.1,2.3,2.4,2.7,3.0,3.3,3.5,3.8,4.0,4.2,4.3,4.5,4.7,4.9,5.2,5.6,6.1,6.6,6.8,7.5,9.3,11.0,12.6,14.2,16.2,19.3,21.2,25.8,29.3,29.6,29.8,26.8,25.7,27.4,29.2,27.0,28.3,29.6,32.3,32.6,30.7,34.5,35.9,31.7,32.2,39.3,46.2,38.5,48.9,52.3,61.3,60.1,61.9,68.1,58.2,54.6,52.2,44.4,50.7,56.0,48.0,43.8,48.2,54.7,54.1,50.5,59.4,79.2
29,"                Fuel oil and other fuels",3.4,3.0,3.3,3.5,3.4,3.4,3.5,3.7,3.9,4.0,4.1,4.0,3.8,3.7,3.7,4.0,4.1,4.4,4.6,4.8,4.7,4.5,4.4,4.5,5.0,6.2,7.7,8.3,10.0,10.9,11.4,14.1,15.2,15.5,14.2,13.4,13.6,13.3,11.1,11.0,11.5,11.7,12.8,12.3,12.1,12.4,12.7,13.0,14.3,13.2,11.6,12.4,15.9,15.5,14.3,17.4,19.4,22.3,23.7,25.6,30.1,23.2,24.6,27.0,24.1,26.0,27.8,21.4,18.4,21.5,25.0,23.8,19.9,24.6,32.6
30,"    Furnishings, household equipment, and routine household maintenance",16.8,16.3,18.7,19.7,19.3,20.0,19.9,22.3,23.6,23.9,24.1,25.6,26.2,26.8,28.3,29.8,32.7,34.7,37.8,39.7,43.2,45.4,46.6,48.8,53.5,59.9,64.6,67.8,75.0,84.0,93.6,104.3,110.7,118.3,121.0,132.3,147.1,156.0,168.7,176.9,186.6,197.5,200.6,199.1,209.4,221.9,238.6,251.7,263.7,277.3,297.3,320.6,344.0,353.2,366.3,381.1,406.6,430.1,448.7,455.0,438.7,405.9,410.7,423.7,438.6,453.3,473.7,495.2,511.1,527.9,556.4,575.3,621.3,710.2,756.5
31,"        Furniture, furnishings, and floor coverings5",4.9,4.8,5.5,5.9,6.0,6.3,6.3,7.2,7.6,7.7,7.7,8.2,8.2,8.3,8.9,9.7,10.9,11.6,12.5,13.0,14.3,15.0,15.1,15.9,18.1,20.5,22.1,22.6,24.8,28.3,31.1,34.5,35.3,36.6,35.9,40.6,46.0,49.2,54.4,59.0,62.1,66.1,65.3,63.8,66.0,69.8,75.1,78.8,83.3,88.4,95.4,104.7,114.5,117.1,122.2,127.4,139.0,149.4,157.8,159.6,144.4,127.4,128.0,130.1,133.6,136.4,142.5,152.5,159.4,165.8,175.2,180.9,192.6,234.3,247.2
32,"        Household textiles",2.3,2.3,2.7,2.9,2.7,2.6,2.4,2.6,2.7,2.7,2.6,2.8,2.8,3.0,3.2,3.3,3.6,3.9,4.3,4.5,4.8,4.7,4.7,4.7,4.9,5.4,5.8,6.0,6.5,7.2,7.9,8.7,9.4,10.4,10.8,12.4,14.3,15.6,17.7,19.2,20.1,20.4,20.4,20.5,22.0,23.4,25.6,27.1,28.9,30.1,31.0,33.0,34.2,34.0,35.0,37.5,40.8,43.9,46.1,46.8,45.9,43.8,46.3,49.5,52.7,54.4,56.2,58.4,59.9,61.9,64.7,66.9,73.5,85.7,92.6
33,"        Household appliances6",3.2,2.9,3.7,3.6,3.6,3.8,3.8,4.2,4.5,4.5,4.3,4.7,4.6,4.6,4.6,4.8,5.2,5.2,5.7,6.0,6.7,7.3,7.7,8.3,9.3,10.2,10.7,11.0,12.0,13.3,14.3,15.7,16.1,16.6,16.1,17.8,19.4,20.9,22.3,22.8,23.8,25.0,24.8,24.4,25.5,26.7,27.7,29.0,29.6,29.8,32.2,35.5,38.2,40.1,42.2,44.0,47.6,50.8,53.0,52.9,52.2,48.8,50.1,52.0,54.5,58.2,60.8,63.5,66.0,68.1,69.8,70.9,77.2,90.8,94.8
34,"        Glassware, tableware, and household utensils7",1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,2.0,2.2,2.4,2.8,3.0,3.3,3.5,3.6,3.7,4.1,4.7,5.2,5.7,6.5,7.3,8.6,9.5,10.6,11.8,12.8,13.4,14.1,14.4,15.1,15.1,16.3,17.5,18.4,18.5,20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40.0,41.3,43.1,44.6,45.5,44.8,41.6,37.4,36.4,35.3,33.5,33.9,34.5,35.9,36.6,37.5,38.9,40.6,44.6,50.6,54.5
35,"        Tools and equipment for house and garden",0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.7,4.2,4.9,5.3,5.7,6.0,6.5,7.0,7.3,7.7,8.1,8.7,9.2,9.7,9.9,10.7,11.5,12.5,13.0,13.6,14.5,15.4,16.4,17.1,17.6,18.1,18.8,20.2,21.0,21.3,20.1,20.1,19.0,19.9,21.8,23.6,26.4,29.4,32.4,35.6,39.2,41.3,42.4,49.3,55.6,60.0
36,"        Other household goods and services8",4.3,4.3,4.7,5.0,4.9,5.2,5.2,6.0,6.4,6.7,7.1,7.6,8.1,8.5,8.9,9.3,9.9,10.5,11.3,11.9,12.7,13.4,14.1,14.5,15.3,16.9,18.4,19.7,22.0,24.3,27.6,31.1,34.1,37.1,39.3,41.7,46.3,48.6,51.4,52.7,55.6,59.3,62.0,61.9,65.1,69.3,74.9,80.0,83.5,88.8,94.9,99.1,104.7,107.3,109.0,112.1,115.8,120.4,125.0,130.8,134.5,129.5,129.9,135.0,140.6,143.9,150.3,152.4,153.7,155.5,166.4,173.6,184.1,193.2,207.4
37,"    Health",7.6,7.9,8.5,9.3,10.1,11.0,11.9,12.8,14.1,15.5,17.1,18.8,20.4,21.8,24.3,26.4,29.8,32.0,35.0,38.4,43.8,50.0,56.8,63.4,70.4,78.7,88.7,102.7,116.8,131.6,149.4,169.9,195.5,228.9,254.9,287.1,315.2,345.3,378.4,419.9,470.7,519.0,583.7,638.4,700.4,741.7,779.9,826.0,868.3,919.9,979.7,1033.3,1109.6,1209.4,1317.1,1410.7,1514.9,1612.3,1715.0,1823.2,1909.3,1999.3,2078.1,2153.2,2230.7,2285.2,2395.1,2536.3,2652.1,2745.5,2867.0,3024.5,2944.2,3242.2,3435.0
38,"        Medical products, appliances, and equipment",1.8,1.9,2.1,2.4,2.5,2.6,2.7,2.8,3.2,3.5,3.7,4.0,4.3,4.7,5.2,5.4,5.7,5.9,6.3,6.5,7.2,8.0,9.2,9.7,10.6,11.5,12.6,13.7,14.9,15.9,18.2,21.0,23.8,26.9,29.7,34.0,38.7,43.1,48.2,53.9,60.7,67.8,77.5,82.6,87.7,92.9,99.4,106.1,116.2,128.9,147.6,169.7,191.2,212.8,234.2,256.7,276.1,291.7,323.1,345.0,353.9,366.5,378.5,396.1,409.4,421.5,449.7,476.5,487.4,500.2,522.3,555.4,589.4,611.7,658.2
39,"            Pharmaceutical and other medical products9",1.3,1.4,1.5,1.8,1.9,1.9,2.0,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.5,4.7,4.9,5.2,5.7,6.3,7.3,7.7,8.4,9.1,9.9,10.7,11.7,12.4,14.2,16.5,18.7,21.3,23.5,26.9,30.3,33.5,37.2,41.3,45.9,51.9,59.1,65.1,69.6,74.0,79.1,85.1,93.2,103.7,119.8,140.0,159.0,181.0,200.2,220.2,236.3,248.5,276.2,293.4,302.7,315.9,326.1,341.8,354.4,365.4,392.6,417.9,428.0,440.0,459.0,488.5,522.9,532.8,575.2
40,"                Pharmaceutical products",---,---,---,---,---,---,---,---,---,---,---,3.1,3.3,3.7,4.0,4.3,4.4,4.5,4.7,5.1,5.6,6.1,7.1,7.5,8.2,8.9,9.6,10.3,11.3,12.0,13.8,16.1,18.3,20.8,23.0,26.3,29.7,32.8,36.4,40.4,44.9,50.8,57.9,63.8,68.2,72.6,77.7,83.8,91.9,102.3,118.3,138.3,157.1,178.9,198.0,217.8,233.6,245.5,272.8,289.6,298.9,312.1,322.1,337.6,349.9,360.8,388.0,413.0,423.0,435.1,453.8,482.9,517.0,526.0,567.7
41,"                Other medical products",---,---,---,---,---,---,---,---,---,---,---,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.5,1.7,2.0,2.1,2.2,2.4,2.7,3.0,3.4,3.8,3.8,3.8,4.0,4.2,4.5,4.6,4.6,4.8,4.9,4.9,5.2,5.6,5.9,6.8,7.5
42,"            Therapeutic appliances and equipment",0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.1,1.0,1.2,1.3,1.4,1.3,1.5,1.7,1.9,1.9,2.2,2.4,2.7,3.0,3.3,3.5,3.9,4.5,5.1,5.7,6.2,7.1,8.4,9.6,11.0,12.6,14.8,15.9,18.4,17.5,18.1,18.9,20.4,21.0,23.0,25.3,27.8,29.7,32.2,31.8,34.0,36.5,39.7,43.2,46.9,51.6,51.2,50.6,52.4,54.3,55.0,56.1,57.1,58.7,59.5,60.2,63.3,66.9,66.5,78.9,83.0
