Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
"Last Revised on: November 17, 2023"
Line,,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,"    Law courts",0.7,0.7,0.8,0.8,0.8,0.9,1.0,1.1,1.2,1.4,1.6,1.8,2.1,2.4,2.7,3.1,3.6,4.0,4.4,4.9,5.7,6.6,7.4,8.2,8.7,9.4,10.4,11.1,12.1,14.0,16.0,17.9,19.9,21.5,24.2,25.7,27.7,29.6,31.1,33.8,36.8,39.8,43.3,45.0,44.6,46.2,48.6,50.6,53.2,56.1,57.5,58.1,57.5,57.1,55.5,56.9,59.0,60.2,61.7,64.8,67.8,68.2,70.4,74.4
11,"    Prisons",0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.2,1.3,1.4,1.6,1.9,2.2,2.5,2.8,3.4,4.0,4.5,5.1,5.8,6.5,7.5,8.5,10.0,11.4,13.0,15.1,17.2,19.5,22.1,25.6,29.3,32.4,34.4,36.6,40.2,43.4,45.8,48.6,51.5,56.4,60.9,65.4,67.5,67.9,70.5,73.6,78.2,84.1,89.0,88.7,87.4,87.2,86.4,88.7,92.0,94.4,95.2,96.7,100.6,105.3,107.8,110.6,118.6
12,Economic affairs,21.0,20.1,21.4,24.3,27.6,30.8,33.7,35.9,37.8,40.9,43.3,46.0,49.7,52.6,55.2,63.0,70.6,73.5,78.8,90.3,100.5,113.8,126.7,129.7,137.5,141.7,155.4,164.3,166.0,165.7,178.4,195.2,202.5,214.0,221.2,228.5,233.9,240.2,250.0,253.3,272.2,291.9,307.3,329.0,339.1,349.7,364.9,388.9,417.1,437.4,451.8,468.4,459.3,465.1,464.4,473.4,491.6,499.8,514.0,545.5,571.9,605.7,634.5,638.9
13,"    Transportation",12.3,12.3,13.2,14.0,15.3,15.7,16.9,18.6,19.8,21.5,22.7,25.0,26.7,28.0,29.7,34.8,38.0,38.1,39.4,43.8,49.9,55.9,59.7,62.4,66.3,72.2,77.8,82.6,86.6,91.2,94.5,103.0,107.9,111.4,117.4,124.7,127.0,132.1,138.5,145.3,156.5,168.2,180.5,194.0,202.8,208.1,220.9,236.7,253.0,266.8,273.5,276.6,281.8,286.6,289.9,300.1,309.8,313.8,325.5,343.7,362.7,365.1,381.6,411.2
14,"        Highways",10.8,10.6,11.4,12.2,13.3,13.7,14.7,16.1,16.9,18.2,19.1,20.9,22.5,23.0,24.3,28.6,31.4,31.1,31.9,35.5,40.4,44.6,47.7,49.6,51.6,56.7,61.5,65.9,69.2,72.8,74.5,80.9,83.8,86.1,90.7,96.7,99.8,103.7,109.0,115.3,124.2,132.6,141.7,147.3,149.3,156.4,169.4,183.2,199.1,205.9,208.9,209.5,214.4,219.0,222.5,228.3,235.2,239.7,246.7,260.5,273.3,274.5,288.9,315.3
15,"        Air",0.6,0.8,0.9,0.9,0.9,1.0,0.9,1.0,1.2,1.3,1.5,1.9,2.0,2.2,2.3,2.6,2.7,2.8,2.9,3.3,3.7,4.2,4.3,4.3,5.3,5.7,6.4,7.0,7.5,8.0,8.8,9.8,11.0,12.2,12.9,12.6,11.7,12.6,13.3,14.4,15.4,16.3,18.3,23.2,26.1,25.6,25.6,26.9,27.7,30.7,32.0,33.3,32.4,31.9,30.7,31.1,33.8,35.0,37.9,41.7,43.0,42.8,45.1,45.7
16,"        Water",0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.3,1.4,1.4,1.6,1.7,2.0,2.2,2.3,2.5,2.9,3.5,4.0,4.3,4.6,5.1,5.4,5.5,5.3,5.5,5.9,6.0,6.4,7.0,7.0,7.1,7.3,7.2,7.5,7.5,7.4,7.9,9.6,10.0,9.9,11.8,10.7,11.7,12.6,12.1,14.0,14.6,15.8,16.6,16.5,16.4,17.2,16.7,15.9,16.9,17.4,18.7,17.5,18.9,21.2
17,"        Transit and railroad",0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.5,0.6,0.7,0.8,0.8,0.8,1.2,1.3,1.5,1.7,1.9,2.0,2.2,2.4,3.0,3.5,4.0,4.3,4.4,4.3,4.4,4.4,4.5,5.1,5.8,6.1,6.1,6.6,8.1,8.3,8.4,8.7,8.3,9.0,9.6,10.5,13.6,15.7,15.3,14.2,14.0,14.1,16.2,18.0,18.1,18.4,19.1,20.4,23.5,24.2,23.2,24.1,24.1,27.8,30.4,28.7,29.0
18,"    Space",0.4,0.9,1.5,2.7,5.2,7.1,8.6,9.3,8.1,7.7,7.1,7.0,7.0,6.9,6.7,7.3,7.8,7.9,8.1,8.2,8.8,10.1,11.1,11.7,12.7,13.1,13.9,13.8,15.0,16.8,19.6,22.4,23.8,24.1,24.3,23.6,23.9,24.7,25.0,23.8,23.6,24.1,24.7,24.8,25.5,26.5,26.8,26.7,28.6,30.3,30.9,30.9,29.4,29.4,29.0,30.2,31.1,31.8,32.2,34.0,35.1,36.7,37.7,40.1
19,"    Other economic affairs",8.4,6.9,6.7,7.6,7.1,8.0,8.3,8.0,9.9,11.7,13.5,14.1,16.0,17.8,18.8,20.9,24.8,27.6,31.4,38.3,41.8,47.9,55.8,55.6,58.5,56.4,63.7,67.9,64.4,57.6,64.3,69.8,70.8,78.6,79.6,80.2,83.0,83.4,86.4,84.2,92.1,99.6,102.1,110.2,110.9,115.1,117.2,125.5,135.5,140.3,147.4,160.9,148.1,149.1,145.5,143.1,150.7,154.2,156.3,167.8,174.1,203.9,215.2,187.6
20,"        General economic and labor affairs",1.1,1.3,1.4,1.5,1.7,1.9,2.1,2.5,3.0,3.3,3.4,3.8,4.6,5.3,5.8,5.1,5.6,6.4,7.4,8.4,9.4,11.1,11.2,11.2,10.8,11.4,12.6,13.2,14.3,15.0,17.5,21.5,18.5,20.8,21.6,21.9,23.0,24.1,24.8,23.1,25.6,29.5,28.4,31.4,31.3,32.9,34.4,35.3,38.0,40.6,44.8,46.6,43.0,43.4,43.0,42.6,43.6,45.2,47.8,54.4,58.0,81.4,89.8,70.5
21,"        Agriculture",4.0,2.1,1.4,2.1,1.4,1.5,1.3,0.3,0.9,2.3,3.3,2.5,2.8,2.7,2.8,3.1,4.2,4.3,4.6,5.4,5.8,8.0,8.2,10.7,12.7,9.4,13.5,18.4,13.1,5.8,10.1,9.7,11.7,13.0,12.1,11.6,11.2,11.3,13.2,11.4,13.4,14.1,15.4,16.2,15.5,15.3,15.0,17.4,16.2,16.5,15.7,19.4,16.7,16.5,16.1,16.3,17.1,16.5,18.0,19.4,19.7,20.5,21.5,24.1
22,"        Energy",1.4,1.6,1.8,1.8,1.8,2.1,2.1,2.0,2.6,3.1,3.5,3.9,4.2,4.7,5.0,6.6,8.0,9.5,11.8,16.0,16.7,17.7,23.8,20.6,20.7,20.6,21.3,19.8,19.1,18.6,18.0,18.4,18.7,22.2,24.1,22.5,24.0,21.1,21.1,19.7,21.6,21.5,22.7,26.1,28.7,28.6,26.6,28.8,31.1,35.1,38.3,42.9,37.0,38.6,38.2,37.2,39.3,39.0,38.1,40.3,40.1,43.4,41.8,26.0
23,"        Natural resources",1.7,1.6,1.8,1.9,1.9,2.0,2.4,2.7,3.0,2.8,3.0,3.6,4.0,4.4,4.5,5.2,6.2,6.3,6.8,7.7,9.1,10.2,11.4,11.9,13.1,13.4,14.5,14.6,15.2,15.9,16.5,17.3,18.5,19.3,19.2,21.6,21.9,23.2,23.3,25.3,26.2,29.4,31.1,34.2,33.6,36.0,38.0,40.6,46.8,45.1,45.8,49.9,49.6,48.6,45.5,45.6,48.9,51.8,50.8,51.8,54.4,56.2,59.8,64.0
24,"        Postal service",0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,1.0,1.0,1.1,1.5,1.5,1.5,2.4,2.0,2.0,2.5,3.0,3.1,2.5,2.5,2.7,3.3,3.9,4.3,5.0,4.6,4.1,1.7,1.4,1.9,2.5,2.7,2.6,2.0,1.8,1.5,1.1,1.2,2.2,0.9,1.3,1.5,1.5,1.6,1.8,2.2,2.1,2.8
25,"        Other",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1.0,0.9,0.7,0.8,0.8,0.6,0.6,0.5,0.2,0.2,0.2,0.1,0.2,0.2,0.1
26,Housing and community services,2.7,2.8,3.1,3.6,3.4,3.9,4.1,4.3,4.5,5.3,5.2,5.6,6.3,6.3,7.1,8.5,9.6,10.0,9.9,11.8,13.1,15.7,15.6,15.3,14.7,16.4,17.8,20.1,22.1,23.2,24.2,26.5,27.6,28.0,27.8,26.5,27.6,29.9,31.1,32.4,34.5,33.6,36.9,40.5,43.2,45.1,47.8,50.1,53.6,57.6,58.9,58.6,57.3,54.3,52.8,52.4,54.2,55.7,58.1,62.3,64.7,65.4,68.2,75.3
27,Health,4.6,4.9,5.3,5.5,5.8,6.3,6.5,7.3,8.2,9.5,10.7,12.5,14.2,16.0,18.0,20.6,23.4,24.5,26.5,29.4,31.3,36.0,38.7,40.2,42.3,46.3,49.7,51.9,55.7,60.7,65.8,71.7,76.1,78.8,80.8,83.8,85.6,87.3,88.8,93.6,101.4,109.3,115.2,128.3,140.1,147.4,159.8,166.1,183.0,201.4,210.6,217.7,224.2,227.2,231.1,236.2,243.8,257.1,257.4,276.2,301.7,350.9,409.2,463.4
28,Recreation and culture,0.9,1.0,1.1,1.2,1.3,1.3,1.4,1.5,1.7,2.0,2.3,2.6,2.8,3.0,3.4,4.1,4.9,5.1,5.3,6.0,6.5,7.0,7.5,8.0,8.3,8.9,9.9,10.7,11.3,12.1,13.5,15.0,15.9,16.7,17.1,18.0,19.3,20.6,22.2,23.5,24.7,27.7,30.2,32.1,32.2,33.4,35.6,38.1,41.0,43.4,43.5,42.9,41.3,40.5,41.3,42.9,44.8,47.8,49.6,52.4,56.3,56.4,55.9,59.0
29,Education,17.2,19.0,20.9,22.2,24.4,27.0,30.1,34.9,38.9,42.9,47.6,53.6,59.9,65.6,71.7,79.9,90.8,97.3,103.4,111.1,122.2,133.2,144.1,154.2,163.1,177.4,193.3,210.0,225.1,243.5,267.5,291.5,310.5,327.9,341.6,360.5,385.7,405.9,430.0,458.3,491.6,531.9,570.8,589.6,611.5,643.4,676.7,718.3,769.5,809.3,820.8,827.6,827.4,830.6,862.1,885.9,914.8,943.1,972.9,1013.2,1052.1,1078.7,1116.5,1190.7
30,"    Elementary and secondary",14.3,15.8,17.2,18.2,19.8,21.8,24.1,27.4,30.1,33.1,36.4,40.5,45.3,49.4,53.6,59.8,68.3,73.3,78.1,84.1,92.8,100.7,107.9,115.4,122.9,134.1,145.7,159.2,171.9,186.0,203.9,222.8,238.4,252.6,261.4,274.6,295.2,312.3,331.7,353.8,380.2,409.8,436.8,457.0,479.2,502.7,529.2,562.1,595.3,621.2,626.2,625.2,618.4,617.1,638.7,657.1,680.7,705.1,731.0,762.6,790.9,807.6,838.6,897.9
31,"    Higher",2.2,2.4,2.8,3.0,3.5,3.9,4.5,5.5,6.6,7.5,8.5,10.0,11.1,12.3,14.0,15.6,17.2,18.5,19.6,21.0,22.9,25.4,28.6,30.9,32.0,34.3,37.9,40.5,42.2,45.6,50.5,54.6,57.5,60.0,64.2,68.8,72.2,74.3,78.4,84.9,90.3,98.8,108.5,106.1,105.7,113.4,118.9,127.1,143.8,156.8,162.8,169.9,176.6,181.3,191.0,196.1,202.0,206.3,210.1,217.0,225.0,232.0,235.8,248.1
32,"    Libraries and other",0.8,0.8,0.9,1.0,1.1,1.3,1.5,2.0,2.2,2.4,2.7,3.2,3.6,3.9,4.1,4.5,5.3,5.5,5.7,6.1,6.5,7.1,7.6,7.9,8.3,9.1,9.7,10.3,11.1,12.0,13.2,14.1,14.6,15.3,16.0,17.2,18.3,19.3,20.0,19.7,21.1,23.3,25.6,26.5,26.6,27.3,28.6,29.1,30.4,31.2,31.8,32.5,32.5,32.2,32.4,32.7,32.1,31.7,31.8,33.7,36.3,39.1,42.1,44.7
33,"        Libraries",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.3,1.3,1.4,1.5,1.7,1.8,2.0,2.2,2.4,2.6,2.9,3.2,3.4,3.8,4.1,4.5,4.9,5.1,5.2,5.5,5.8,6.3,6.7,7.0,7.4,7.9,8.6,9.2,9.5,10.1,10.8,11.3,12.1,12.2,12.1,11.9,12.1,12.0,12.2,12.4,12.9,13.2,13.4,13.8,14.2,15.8,16.1,15.7
34,"        Other",0.5,0.5,0.5,0.6,0.7,0.8,1.1,1.5,1.6,1.8,2.0,2.4,2.7,3.0,3.1,3.4,4.0,4.2,4.3,4.6,4.8,5.2,5.6,5.7,5.9,6.4,6.8,7.1,7.6,8.2,9.1,9.6,9.8,10.2,10.8,11.7,12.4,13.0,13.3,12.7,13.7,15.3,17.0,17.4,17.0,17.1,17.8,17.9,18.3,19.0,19.7,20.6,20.4,20.2,20.2,20.3,19.2,18.6,18.5,19.9,22.1,23.4,26.1,29.0
35,Income security,1.1,1.1,1.4,1.6,1.7,1.7,2.2,2.6,2.9,2.9,3.5,4.2,4.8,5.9,6.7,8.5,9.2,10.4,12.1,13.0,14.2,15.8,16.7,17.5,19.2,20.8,22.2,22.9,24.3,26.0,28.9,32.2,35.4,39.6,41.4,45.2,47.2,48.3,51.5,57.0,60.8,65.9,72.0,79.6,81.5,81.6,87.2,95.7,90.8,92.4,94.6,95.3,91.2,91.4,96.1,99.5,100.8,105.1,110.2,122.3,129.9,136.2,150.4,164.6
36,"    Disability",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,0.9,1.2,1.1,1.3,1.5,1.8,2.1,2.1,2.5,2.8,2.9,3.1,3.4,3.3,3.4,4.0,5.3,5.6,5.5,5.8,5.8,5.5,5.5,5.4,5.3,5.1,5.3,5.3,5.1,5.3,5.3,5.1,5.5,6.0,6.0,5.9,6.3
37,"    Retirement1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.2,1.0,1.1,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.1,1.1,1.0,1.1,0.9,1.0,1.6,0.9,1.5,1.0,1.2,1.6,1.4,1.6,1.9,2.1,2.0,2.5,2.4,1.9,2.0,2.1,2.4,2.2,2.2,2.4,2.3,2.4,2.4,2.1,2.3
38,"    Welfare and social services",0.8,0.8,1.0,1.2,1.2,1.2,1.7,2.0,2.3,2.3,2.7,3.3,3.9,4.7,5.4,6.8,7.6,8.8,10.0,10.9,12.0,13.2,14.1,14.7,16.4,17.8,19.2,20.2,21.4,23.1,25.7,28.9,31.5,34.4,36.5,39.3,41.2,42.2,45.1,49.3,53.9,58.2,63.7,69.6,70.2,70.3,72.7,74.1,76.0,78.8,80.8,82.3,78.6,78.5,82.5,86.0,87.7,90.4,92.8,99.5,110.7,115.2,125.0,137.7
39,"    Unemployment",0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"    Other",---,---,---,---,---,---,---,---,---,0.0,0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.3,2.0,2.2,2.2,2.7,2.7,2.8,3.4,3.5,4.2,4.4,7.2,13.9,7.2,6.2,5.9,5.3,5.6,5.6,6.1,6.1,5.6,7.1,10.0,15.1,10.9,12.6,17.2,18.2
41,"            Federal",73.6,72.9,77.4,85.5,87.9,90.3,93.2,106.6,120.0,128.0,131.2,132.8,134.5,141.6,146.2,158.8,173.7,184.8,200.3,218.9,240.6,274.9,314.0,348.3,382.4,411.8,452.9,481.7,502.8,511.4,534.1,562.4,582.9,588.5,580.2,574.7,576.7,579.2,583.3,585.5,610.7,633.1,670.2,743.1,826.8,892.1,947.8,1001.2,1051.0,1152.0,1220.8,1300.2,1299.8,1287.0,1227.4,1217.1,1222.8,1237.4,1266.1,1346.3,1422.2,1523.4,1594.3,1635.5
42,General public service,2.0,2.2,2.3,2.5,2.7,2.8,3.2,3.1,2.8,2.9,3.7,4.7,5.9,6.5,6.9,8.4,9.1,9.6,10.2,10.4,11.7,12.8,12.7,14.2,13.6,13.9,16.2,17.3,18.1,17.9,18.6,21.9,24.0,24.5,22.0,21.9,24.7,21.4,24.1,24.8,26.0,24.6,30.6,33.1,35.8,43.2,44.9,47.1,49.5,56.0,61.2,66.4,65.0,67.7,64.4,64.5,69.2,70.8,73.0,75.9,80.1,94.0,88.7,96.2
43,"    Executive and legislative",2.0,2.2,2.2,2.5,2.6,2.7,3.0,3.0,2.7,1.4,2.0,2.5,3.3,3.6,3.9,5.0,5.1,5.3,5.6,6.0,7.4,8.4,8.2,9.0,7.5,8.2,9.0,8.9,9.6,8.6,8.6,11.0,11.3,11.2,12.1,12.1,14.5,11.8,13.4,15.8,16.1,16.6,18.0,21.3,23.9,31.1,32.5,33.4,35.6,39.3,44.4,47.2,49.9,51.8,47.7,49.7,51.8,51.7,55.3,55.8,58.2,63.9,63.9,68.4
44,"    Tax collection and financial management",0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,1.5,1.7,2.1,2.6,2.9,3.0,3.5,3.9,4.3,4.6,4.4,4.3,4.4,4.5,5.2,6.1,5.6,7.2,8.3,8.5,9.4,10.0,10.8,12.7,13.3,9.8,9.8,10.2,9.6,10.7,9.0,9.9,8.0,12.5,11.8,11.9,12.0,12.4,13.7,13.9,16.7,16.8,19.2,15.1,15.9,16.6,14.9,17.4,19.1,17.7,20.2,21.9,30.1,24.7,27.8
45,"    Other2",---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
46,National defense,60.9,60.9,64.5,69.7,70.0,69.7,70.6,82.5,95.0,101.4,102.1,100.7,98.0,100.7,102.6,109.9,118.0,125.0,134.4,145.2,160.6,183.4,213.4,245.4,272.1,298.8,329.5,352.4,372.4,382.1,391.2,405.0,414.0,406.5,391.6,382.1,377.2,377.3,372.0,368.8,383.3,392.6,413.2,458.9,521.2,569.9,609.4,640.8,679.3,750.3,787.6,828.0,834.0,814.2,764.3,744.1,730.4,729.4,748.3,795.1,851.1,884.6,898.6,928.4
47,Public order and safety,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.9,1.0,1.3,1.5,1.7,2.0,2.3,2.5,2.8,3.1,3.4,3.5,3.7,4.3,4.9,5.3,5.8,6.5,7.9,8.8,9.4,11.1,12.4,15.6,16.1,16.8,18.9,19.9,23.0,25.0,28.2,30.3,33.6,36.2,39.0,41.3,44.4,47.0,53.2,57.6,59.6,61.0,61.6,57.4,59.4,60.9,64.0,66.6,70.4,72.4,73.3,76.6,81.7
48,"    Police",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.9,1.0,1.0,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.3,2.7,3.0,3.1,3.4,4.2,4.5,4.7,5.0,5.8,8.1,8.1,7.8,9.1,10.1,12.5,13.4,15.3,16.1,19.2,22.4,25.5,27.2,29.1,31.3,36.5,39.6,40.8,42.3,42.6,40.7,42.3,43.0,46.1,48.0,51.2,52.3,53.0,56.0,59.0
49,"    Fire",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.8,0.3,0.3,0.8,0.6,0.8,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,1.0,0.9,0.9,1.0,1.0,1.0
50,"    Law courts",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,1.0,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.6,2.9,3.3,3.9,4.3,4.8,5.0,5.6,6.1,6.1,6.7,7.3,7.9,8.7,8.5,7.4,7.5,8.0,8.4,8.8,9.1,9.8,10.5,10.4,10.5,8.3,8.4,9.0,9.0,9.5,10.0,10.4,10.1,10.3,11.1
